Node       Visible Definition                Description                   
S035R95    N       Parm87/G(total)           G(tau- --> e- pi+- K-+)/G(total)
S035R94    N       Parm86/G(total)           G(tau- --> ( mu pi K )#text{#charge{-}, all charged})/G(total)
S035R97    Y       Parm79/G(total)           G(tau- --> h- #text{#def{>=}} 3pi0 nu_tau)/G(total)
S035R96    N       Parm88/G(total)           G(tau- --> mu- pi+- K-+)/G(total)
S035R91    N       Parm83/G(total)           G(tau- --> e-+ pi+- pi-)/G(total)
S035R90    N       Parm82/G(total)           G(tau- --> ( mu e e )#text{#charge{-}})/G(total)
S035R93    N       Parm85/G(total)           G(tau- --> ( e pi K )#text{#charge{-}, all charged})/G(total)
S035R92    N       Parm84/G(total)           G(tau- --> mu-+ pi+- pi-)/G(total)
S035C04    Y       Parm305/G(total)          G(tau- --> e- omega)/G(total) 
S035C91    Y       Parm324/G(total)          G(tau- --> 3pi- 2pi+ pi0 nu_tau #text{(ex.#p{K0}, #p{eta}, #p{f_1(1285)})})/G(total)
S035C92    Y       Parm325/G(total)          G(tau- --> 3pi- 2pi+ pi0 nu_tau #text{(ex.#p{K0}, #p{eta}, #p{omega}, #p{f_1(1285)})})/G(total)
S035R42    Y       Parm192/G(total)          G(tau- --> h- #text{#def{>=}1 neutrals} nu_tau)/G(total)
S035R99    N       Parm19/G(total)           G(tau- --> h- #text{#def{>=}} 2pi0 nu_tau)/G(total)
S035R98    Y       Parm91/Parm25             G(tau- --> h- rho pi0 nu_tau)/G(tau- --> h- h- h+ pi0 nu_tau)
S035C96    Y       Parm329/G(total)          G(tau- --> K+ K- 2pi- pi+ nu_tau)/G(total)
S035C97    Y       Parm330/G(total)          G(tau- --> K- 2pi- 2pi+ pi0 nu_tau)/G(total)
S035C93    Y       Parm326/G(total)          G(tau- --> eta^'(958) K- nu_tau)/G(total)
S035C23    Y       Parm262/G(total)          G(tau- --> pi- pi+ pi- pi0 nu_tau  #text{(ex.#p{K0})})/G(total)
S035C22    Y       Parm261/G(total)          G(tau- --> pi- pi+ pi- pi0 nu_tau)/G(total)
S035R11    N       Parm10/G(total)           G(tau- --> a_1(1260)- nu_tau)/G(total)
S035C03    Y       Parm301/G(total)          G(tau- --> h- h- h+ #text{#def{>=}} 2pi0 nu_tau #text{(ex. #p{K0})})/G(total)
S035B82    Y       Parm223/G(total)          G(tau- --> phi K- nu_tau)/G(total)
S035C01    Y       Parm299/G(total)          G(tau- --> h- #text{#def{>=}} 1pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035C05    Y       Parm306/G(total)          G(tau- --> mu- omega)/G(total)
S035B83    Y       Parm224/G(total)          G(tau- --> e- pi0 pi0)/G(total)
S035R43    Y       Parm181/G(total)          G(tau- --> h- #text{#def{>=}0#p{K0L} } nu_tau)/G(total)
S035R20    Y       Parm27/G(total)           G(tau- --> h- 2pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035R21    Y       Parm26/G(total)           G(tau- --> h- 3pi0 nu_tau)/G(total)
S035R22    N       Parm9/G(total)            G(tau- --> pi- rho0 nu_tau)/G(total)
S035B81    Y       Parm76/G(total)           G(tau- --> mu- nubar_mu nu_tau gamma)/G(total)
S035B68    Y       Parm213/G(total)          G(tau- --> h- Kbar0 pi0 nu_tau)/G(total)
S035B69    Y       Parm214/G(total)          G(tau- --> pi- K0S K0S nu_tau)/G(total)
S035R26    Y       Parm198/G(total)          G(tau- --> K- #text{#def{>=}0#p{pi0} #def{>=}0#p{K0} } #text{#def{>=}0#p{gamma} } nu_tau)/G(total)
S035R27    Y       Parm11/G(total)           G(tau- --> K- #text{#def{>=}1 (#p{pi0} or #p{K0} or #p{gamma}) } nu_tau)/G(total)
S035B64    Y       Parm208/Parm209           G(tau- --> h- h- h+ nu_tau #text{(ex.#p{K0})})/G(tau- --> #text{#tex{\hbox\bgroup }}h- h- h+ #text{#def{>=}0 neutrals } nu_tau#text{#tex{\egroup \allowbreak\hbox\bgroup} (ex. #d{K0S --> pi+ pi-})#tex{\egroup\allowbreak\hbox\bgroup}(``3-prong'')#tex{\egroup}})
S035B65    Y       Parm210/G(total)          G(tau- --> e- e- e+ nubar_e nu_tau)/G(total)
S035B66    Y       Parm211/G(total)          G(tau- --> mu- e- e+ nubar_mu nu_tau)/G(total)
S035B67    Y       Parm212/G(total)          G(tau- --> h- Kbar0 nu_tau)/G(total)
S035B60    Y       Parm206/G(total)          G(tau- --> K^*(892)0 K- nu_tau)/G(total)
S035B61    Y       Parm207/G(total)          G(tau- --> phi pi- nu_tau)/G(total)
S035B62    Y       Parm208/G(total)          G(tau- --> h- h- h+ nu_tau #text{(ex.#p{K0})})/G(total)
S035B63    Y       Parm209/G(total)          G(tau- --> #text{#tex{\hbox\bgroup }}h- h- h+ #text{#def{>=}0 neutrals } nu_tau#text{#tex{\egroup \allowbreak\hbox\bgroup} (ex. #d{K0S --> pi+ pi-})#tex{\egroup\allowbreak\hbox\bgroup}(``3-prong'')#tex{\egroup}})/G(total)
S035R83    N       (Parm18+Parm20)/G(total)  (G(tau- --> h- h- h+ #text{#def{>=}1 neutrals } nu_tau)+G(tau- --> #text{#tex{\hbox\bgroup }}3h- 2h+ #text{#def{>=}0 neutrals } nu_tau#text{#tex{\egroup \allowbreak\hbox\bgroup} (ex. #d{K0S --> pi- pi+})#tex{\egroup\allowbreak\hbox\bgroup}(``5-prong'')#tex{\egroup}}))/G(total)
S035R80    Y       Parm70/G(total)           G(tau- --> eta eta pi- pi0 nu_tau)/G(total)
S035R81    N       Parm170/G(total)          G(tau- --> h- Kbar0 #text{#tex{\hbox\bgroup}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau#text{#tex{\egroup}})/G(total)
S035R86    Y       Parm77/G(total)           G(tau- --> e- pi- K+)/G(total)
S035R87    Y       Parm78/G(total)           G(tau- --> mu- pi- K+)/G(total)
S035R84    Y       Parm171/G(total)          G(tau- --> h- pi0 nu_tau)/G(total)
S035R85    N       Parm76/Parm65             G(tau- --> mu- nubar_mu nu_tau gamma)/G(tau- --> eta eta pi- #text{ #def{>=}0 neutrals } nu_tau)
S035C94    Y       Parm327/G(total)          G(tau- --> K- 2pi- 2pi+ nu_tau)/G(total)
S035R88    N       Parm80/G(total)           G(tau- --> lepton- lepton- lepton+)/G(total)
S035R89    N       Parm81/G(total)           G(tau- --> ( e mu mu )#text{#charge{-}})/G(total)
S035C95    Y       Parm328/G(total)          G(tau- --> K+ 3pi- pi+ nu_tau)/G(total)
S035R54    Y       Parm32/G(total)           G(tau- --> e- gamma)/G(total) 
S035R04    Y       Parm340/G(total)          G(tau- --> K- pi+ pi- nu_tau #text{(ex.#p{K0},#p{omega})})/G(total)
S035C8     Y       Parm247/G(total)          G(tau- --> K- K+ pi- pi0 nu_tau)/G(total)
S035C9     Y       Parm248/G(total)          G(tau- --> K- K+ K- nu_tau)/G(total)
S035D03    Y       Parm335/G(total)          G(tau- --> pbar mu+ mu-)/G(total)
S035R03    Y       Parm338/G(total)          G(tau- --> f_1(1420) pi- nu_tau --> pi- K0S K0S pi0 nu_tau)/G(total)
S035C2     Y       Parm241/G(total)          G(tau- --> pi- K0S K0S pi0 nu_tau)/G(total)
S035C3     Y       Parm242/G(total)          G(tau- --> pi- K0S K0L pi0 nu_tau)/G(total)
S035R25    N       Parm193/G(total)          G(tau- --> h- #text{#def{>=}0 neutrals #def{>=}0#p{K0L} } nu_tau)/G(total)
S035C1     Y       Parm240/G(total)          G(tau- --> pi- K0S K0L nu_tau)/G(total)
S035C6     Y       Parm245/G(total)          G(tau- --> K- pi+ pi- nu_tau)/G(total)
S035C7     Y       Parm246/G(total)          G(tau- --> K- pi+ pi- pi0 nu_tau)/G(total)
S035C5     Y       Parm244/G(total)          G(tau- --> K0 h+ h- h- nu_tau)/G(total)
S035C10    Y       Parm249/G(total)          G(tau- --> Kbar0 rho- nu_tau)/G(total)
S035C11    Y       Parm250/G(total)          G(tau- --> #text{(}Kbar^*(892) pi#text{)#charge{-}} nu_tau --> pi- Kbar0 pi0 nu_tau)/G(total)
S035C12    Y       Parm251/G(total)          G(tau- --> e- K+ K-)/G(total) 
S035C13    Y       Parm252/G(total)          G(tau- --> e+ K- K-)/G(total) 
S035C14    Y       Parm253/G(total)          G(tau- --> mu- K+ K-)/G(total)
S035C15    Y       Parm254/G(total)          G(tau- --> mu+ K- K-)/G(total)
S035C16    Y       Parm255/G(total)          G(tau- --> e- phi)/G(total)   
S035C17    Y       Parm256/G(total)          G(tau- --> mu- phi)/G(total)  
S035C18    Y       Parm257/G(total)          G(tau- --> pi- pi+ pi- nu_tau)/G(total)
S035C19    Y       Parm258/G(total)          G(tau- --> pi- pi+ pi- nu_tau #text{(ex.#p{K0})})/G(total)
S035R38    Y       Parm3/G(total)            G(tau- --> 3h- 2h+ nu_tau #text{(ex.#p{K0})})/G(total)
S035B59    Y       Parm112/G(total)          G(tau- --> h- h- h+ 2pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035B58    Y       Parm113/G(total)          G(tau- --> h- omega pi0 nu_tau)/G(total)
S035C90    Y       Parm323/G(total)          G(tau- --> 3pi- 2pi+ pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035R19    Y       Parm24/G(total)           G(tau- --> pi- pi0 #text{non-#p{rho}(770)} nu_tau)/G(total)
S035C67    Y       Parm303/G(total)          G(tau- --> K- K+ K- nu_tau #text{(ex. #p{phi})})/G(total)
S035B51    Y       Parm141/G(total)          G(tau- --> pi- K0 Kbar0 nu_tau)/G(total)
S035B50    N       Parm133/G(total)          G(tau- --> K^*(892)- #text{#tex{\hbox\bgroup}#def{>=}0(#p{h0}#def{not=}#p{K0S})#tex{\egroup}} nu_tau)/G(total)
S035B53    Y       Parm143/G(total)          G(tau- --> h- h- h+ pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035B52    Y       Parm142/G(total)          G(tau- --> pi- Kbar0 #text{#tex{\allowbreak\hbox\bgroup}(non-#p{K^*(892)-})} nu_tau#text{#tex{\egroup}})/G(total)
S035B55    Y       Parm201/G(total)          G(tau- --> pi- 2pi0 nu_tau  #text{(ex.#p{K0})})/G(total)
S035B54    Y       Parm202/G(total)          G(tau- --> h- h- h+ pi0 nu_tau #text{(ex. #p{K0}, #p{omega})})/G(total)
S035B57    Y       Parm204/G(total)          G(tau- --> h- h- h+ 3pi0 nu_tau)/G(total)
S035B56    Y       Parm203/G(total)          G(tau- --> pi- 3pi0 nu_tau #text{#tex{\hbox\bgroup }(ex.#p{K0})#tex{\egroup}})/G(total)
S035C02    Y       Parm300/G(total)          G(tau- --> h- #text{#def{>=}} 3pi0 nu_tau #text{(ex. #p{K0})})/G(total)
S035R79    Y       Parm69/G(total)           G(tau- --> eta eta pi- nu_tau)/G(total)
S035R78    Y       Parm68/G(total)           G(tau- --> eta pi- pi0 pi0 nu_tau)/G(total)
S035R77    Y       Parm67/G(total)           G(tau- --> e- eta)/G(total)   
S035R76    Y       Parm56/G(total)           G(tau- --> mu+ e- e-)/G(total)
S035R75    Y       Parm55/G(total)           G(tau- --> e+ mu- mu-)/G(total)
S035R74    Y       Parm54/G(total)           G(tau- --> mu- K^*(892)0)/G(total)
S035R73    Y       Parm53/G(total)           G(tau- --> e- K^*(892)0)/G(total)
S035R72    Y       Parm52/G(total)           G(tau- --> mu+ pi- K-)/G(total)
S035R71    Y       Parm51/G(total)           G(tau- --> mu- pi+ K-)/G(total)
